,date,user_loc,message,full_name,country,country_code,geo_code
365,2020-01-13 18:21:44,"Edinburgh, Scotland",Shameless gerrymandering by people who know they'd lose a referendun on Scottish independence. Undemocractic coward… https://t.co/GKmDnHNawo,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
366,2020-01-13 18:34:30,,I haven't seen any tweets from any snp condemning the language and flags at a Scottish independence march which hum… https://t.co/28FffRBODI,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
367,2020-01-13 18:59:38,Beautiful Vale of Glamorgan,Labour leadership hopeful Rebecca Long-Bailey won't block #Indyref2 https://t.co/pIMEgnGPBJ,"Gileston, Wales",United Kingdom,GB,[-3.411687 51.393378]
368,2020-01-13 19:00:37,"Liberton, Scotland","This sad wee sack telling indy supporters to ""go back to Ireland.""

Why do you go back to school and get a proper e… https://t.co/jdRI4kjWoz","Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
369,2020-01-13 19:31:45,The Fourth Estate ,"@electrobuddha1 Well done, all of you! You looked hella FIERCE!

You’ll get there, no worries! 🏴󠁧󠁢󠁳󠁣󠁴󠁿💙🤍

#indyref2","Amherst, NY",United States,US,[-78.764632  43.009117]
370,2020-01-13 20:04:19,"Llanelli, Wales",@Neil_MacKay5 If an IndyRef2 is not allowed to happen based on the mandate demonstrated by the Scottish electorate… https://t.co/ktmbjZRSdg,"Llanelli, Wales",United Kingdom,GB,[-4.140762 51.686871]
371,2020-01-13 20:04:22,Terhole (Zld) The Netherlands.,Point is that given all the issues She has faced until now they are all repaired in one  way or another...but can S… https://t.co/ZWZ0FgGMU0,"Hulst, Nederland",The Netherlands,NL,[ 4.080171 51.331528]
372,2020-01-13 20:41:55,Scotland,"Westminster: Stay with us Scotland.  LEAD us don't leave us.

Also WM: No you can't change drug policy or have powe… https://t.co/OqjcSQtGZO","Coatbridge, Scotland",United Kingdom,GB,[-4.031101 55.859916]
373,2020-01-13 20:43:51,The Fourth Estate ,"For every one person who has been happy that I voiced my opinion on #ScotRef &amp; the #AUOBGlasgow March, I’ve gotten… https://t.co/820sEhpPww","Amherst, NY",United States,US,[-78.764632  43.009117]
374,2020-01-13 21:11:05,,I remember Norman Collier and the faulty microphone gag &amp; seeing this utter crap of a speaker makes me think Collie… https://t.co/JyqfHctcmh,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
